memory_addres;original;new;comment
2120AC;00000000;10CF3600;Address for dialogue box letter capacity fix
2120B8;0000000000000000;1F5673001F867300;Addresses for VWF function
212190;00000000000000000000000000000000;04040400000000030000000004000400;Bytes for VWF function
2121A0;00000000000000000000000000000000;00030000000000000000040400000000;Bytes for VWF function
2121B0;00000000000000000000000000000000;00000000000000000004000000000000;Bytes for VWF function
2121C0;00000000000000000000000000000000;00000000000000000000000000000000;Bytes for VWF function
2121D0;00000000000000000000000000000000;00000000000004000003040003000000;Bytes for VWF function
2121E0;00000000000000000000000000000000;00000404040000000004000000000000;Bytes for VWF function
2121F0;00000000000000000000000000000000;04040400000000030000000004000400;Bytes for VWF function
212200;00000000000000000000000000000000;00030000000000000000040400000000;Bytes for VWF function
212210;00000000000000000000000000000000;00000000000000000004000000000000;Bytes for VWF function
212220;00000000000000000000000000000000;00000000000000000000000000000000;Bytes for VWF function
212230;00000000000000000000000000000000;00000000000004000003040003000000;Bytes for VWF function
212240;00000000000000000000000000000000;00000404040000000004000000000000;Bytes for VWF function
22AA80;10000000100000001000000010000000;12000000120000001200000012000000;Font size for customize character button
22AAB0;10000000100000001000000010000000;12000000120000001200000012000000;Font size for delete profile button
22B0B0;20000000A80000002001000070000000;20000000A80000002E01000090000000;Customization screen buttons positions
22B0C0;20000000D80000002001000070000000;20000000D80000002E01000090000000;Customization screen buttons positions
22B0D0;20000000080100002001000070000000;20000000080100002E01000090000000;Customization screen buttons positions
2592B0;70010000FF0000000D00000006000000;6C010000EF0000000D00000006000000;Opponent selection text position
2592C0;12000000120000001200000014000000;12000000120000001200000012000000;Opponent selection text size
2592E0;60020000FF000000;5A020000F0000000;Rank string position
25BC80;20000000A80000004E010000B0000000;20000000A80000004001000070000000;Rules screen buttons positions
25BC90;20000000D800000020010000B0000000;20000000D80000002801000098000000;Rules screen buttons positions
25BCA0;200000000801000020010000B0000000;200000000801000010010000A0000000;Rules screen buttons positions
25E720;10000000100000001000000010000000;12000000120000001200000012000000;Options screen adjust button font size
25E750;10000000100000001000000010000000;12000000120000001200000012000000;Options brightness button font size
25E780;10000000100000001000000010000000;12000000120000001200000012000000;Options save button font size
25E7B0;10000000100000001000000010000000;12000000120000001200000012000000;Options load button font size
25E7E0;10000000100000001000000010000000;12000000120000001200000012000000;Options apply settings button font size
26188C;02000000;03000000;Number of lines for text box in background gallery
2618B0;70010000FF0000000D00000006000000;6C010000EF0000000D00000006000000;Opponent selection text position
2618C0;12000000120000001200000014000000;12000000120000001200000012000000;Opponent selection text size
2618E0;60020000FF000000;5A020000F0000000;Rank string position
261978;19000000;18000000;Collection screen text box character limit
261980;10000000100000001000000016000000;12000000120000001200000016000000;Collection screen text size
